age,seniority,men,urban,private,marital,y
58,32,1,1,1,C,0
37,30,1,0,1,C,1
56,28,1,0,1,C,1
68,27,1,0,1,C,0
58,26,1,0,1,C,0
57,26,1,0,0,O,0
46,25,0,0,1,C,1
65,25,1,0,1,C,1
64,24,1,0,1,C,0
53,22,1,0,0,C,0
45,21,1,0,1,C,1
43,21,1,1,1,C,1
59,20,1,0,1,C,0
56,20,1,0,1,C,1
48,20,1,0,1,C,1
71,20,1,1,1,C,1
59,19,0,0,1,C,1
63,19,0,1,1,C,0
61,23,1,0,1,C,1
59,21,1,1,1,C,1
55,19,1,0,1,C,0
45,19,1,0,1,C,1
72,19,1,0,1,C,0
53,19,1,0,1,C,1
50,21,1,1,1,C,0
57,19,1,0,1,C,0
65,19,1,0,1,C,0
66,19,1,1,1,C,0
68,26,0,1,1,C,1
53,20,1,0,1,C,1
62,30,1,1,1,C,0
71,18,1,1,1,O,1
52,24,1,0,1,C,1
69,18,1,0,1,C,0
64,18,1,1,1,C,1
54,21,1,0,1,C,1
50,19,1,0,1,C,1
66,18,1,0,1,C,0
53,19,0,1,1,O,1
43,26,1,0,1,C,1
76,18,1,0,1,C,0
56,18,1,1,1,C,1
47,25,1,1,1,S,1
47,17,1,1,1,C,1
56,26,1,1,1,C,1
50,23,1,0,1,C,1
44,19,1,1,1,C,1
50,20,1,1,1,C,0
62,15,1,0,1,C,0
65,18,1,0,1,C,0
46,17,1,0,1,C,0
48,17,1,0,1,C,1
60,17,1,0,1,C,0
46,17,0,0,1,S,0
48,17,1,1,1,C,0
54,26,1,0,1,C,1
64,17,1,1,1,C,0
51,21,1,1,1,C,1
69,16,1,0,1,C,0
47,21,0,0,1,S,1
44,18,1,1,1,C,1
61,16,0,0,1,C,1
52,16,0,1,1,S,0
56,21,1,0,1,C,1
61,16,1,0,1,C,0
72,16,1,1,1,C,0
46,16,1,0,1,S,0
48,18,1,0,1,C,1
48,16,1,1,1,C,1
44,16,1,1,1,C,1
48,16,1,0,1,C,0
64,19,1,0,1,C,0
36,16,0,1,1,O,1
47,16,1,1,1,C,1
57,16,1,0,1,C,0
58,18,1,1,1,C,1
53,15,1,1,1,C,1
49,21,1,0,1,C,1
74,29,1,0,1,C,1
46,25,1,0,1,C,1
55,20,1,0,1,C,0
57,28,1,0,1,C,1
55,15,1,0,1,S,0
76,19,1,0,1,C,0
54,21,1,0,1,S,1
51,15,1,0,1,C,0
73,15,1,1,1,C,0
57,21,1,0,1,C,1
50,15,1,0,1,C,0
58,21,1,0,1,C,1
66,15,1,1,1,C,0
43,15,0,1,1,S,0
39,15,0,1,1,O,1
77,15,1,0,1,C,1
47,15,1,1,1,C,0
66,20,1,0,1,S,0
47,14,1,0,1,O,0
46,14,1,0,1,C,0
53,14,0,1,1,C,0
57,14,1,1,1,C,1
54,14,1,0,1,C,0
41,14,1,0,1,C,0
48,18,1,1,1,C,1
65,14,1,1,1,C,1
74,14,1,0,1,C,0
42,14,1,0,1,S,0
59,17,1,0,1,C,0
45,14,1,0,1,C,1
33,15,1,0,1,C,0
47,16,1,1,1,S,1
44,14,1,1,1,C,1
57,14,0,1,1,C,1
55,20,1,0,1,C,0
42,15,1,0,1,C,1
52,14,1,0,1,C,0
70,16,1,0,1,C,0
35,16,1,0,1,C,1
37,16,1,0,1,C,0
39,15,1,0,1,C,1
51,21,0,0,1,C,0
45,15,1,0,1,S,1
67,20,1,1,1,C,0
49,14,0,0,1,C,0
51,14,1,1,1,C,1
72,20,1,0,1,C,0
43,17,1,1,1,C,1
56,14,1,0,1,C,0
42,15,1,0,1,C,0
32,14,0,1,1,S,1
43,18,1,1,1,C,1
85,35,1,0,1,S,1
57,16,1,1,1,C,0
44,14,1,0,1,C,0
36,14,1,0,1,C,1
37,14,1,0,1,C,1
62,15,1,0,1,C,0
53,14,1,0,1,C,0
41,14,1,0,1,C,0
33,14,0,1,1,S,0
58,14,1,0,1,C,0
65,13,1,0,1,O,0
40,14,0,0,1,C,1
42,13,1,0,1,C,0
48,20,1,0,1,S,1
63,24,1,0,1,C,0
47,22,1,0,1,C,0
60,20,1,0,1,C,0
46,21,0,1,1,S,1
34,13,1,0,1,C,0
32,13,0,0,1,C,1
59,13,1,0,1,C,0
55,20,1,0,1,C,0
43,17,1,0,1,S,0
30,19,0,0,1,C,0
68,21,1,0,1,C,0
53,21,1,0,1,C,0
61,13,1,0,1,C,0
46,14,1,0,1,S,0
44,21,1,1,1,O,0
43,19,0,0,1,S,0
58,16,1,1,1,C,0
44,15,1,0,1,C,0
36,13,1,0,1,C,1
70,26,1,0,1,C,0
73,21,1,0,1,C,0
50,14,1,0,1,C,0
41,13,1,0,1,C,0
48,19,1,0,1,C,1
73,14,1,0,1,C,0
81,19,1,0,1,C,0
56,13,1,1,1,C,1
48,18,1,1,1,C,1
32,17,1,0,1,C,1
44,13,1,1,1,C,0
54,13,1,0,1,C,0
43,15,1,0,1,C,1
41,15,1,0,1,C,1
39,13,1,0,1,C,0
58,13,1,0,1,C,0
37,13,1,1,1,C,1
44,15,1,0,1,C,0
57,13,1,0,1,C,0
61,9,1,1,1,O,0
43,20,1,1,1,C,1
50,14,1,0,1,O,1
41,13,1,0,1,C,0
51,17,1,1,1,C,1
45,18,0,0,1,O,0
56,19,1,0,1,C,0
57,14,1,1,1,C,0
52,13,1,0,1,C,1
41,13,1,0,1,C,0
56,13,1,0,1,C,0
63,16,1,1,1,C,1
58,13,1,0,1,C,0
43,15,1,0,1,C,0
45,23,1,0,1,S,0
41,17,1,1,1,S,0
44,13,1,1,1,C,0
65,14,1,0,1,C,0
39,12,0,1,1,C,0
68,22,1,1,1,C,1
68,13,1,0,1,C,0
36,17,1,0,1,C,0
44,12,1,1,1,C,0
52,12,0,0,1,C,0
46,18,0,1,1,C,1
52,12,1,0,1,C,0
51,14,1,0,1,C,0
42,12,0,1,1,C,0
43,12,1,1,1,S,0
59,25,1,0,1,O,1
36,12,1,1,1,C,0
71,12,1,0,1,C,0
40,16,1,0,1,S,0
63,12,1,1,1,C,1
50,23,1,0,1,C,1
44,15,1,0,1,O,0
65,24,1,0,1,C,0
43,15,1,0,1,C,0
52,23,1,0,1,C,1
67,13,1,0,1,C,0
56,20,1,0,1,C,1
56,20,1,1,1,C,1
44,25,1,0,1,S,1
48,12,1,0,1,C,0
50,16,1,0,1,C,0
54,12,1,0,1,C,0
41,15,1,0,1,C,1
47,12,1,0,1,C,1
27,12,1,0,1,C,1
45,13,0,1,1,C,1
41,18,1,1,1,C,1
38,15,1,0,1,C,1
37,16,1,0,1,C,1
70,38,1,0,1,C,0
52,15,1,1,1,S,0
47,21,1,1,1,C,1
52,21,1,0,1,S,0
52,24,1,0,1,C,1
51,17,1,0,1,C,0
69,25,1,0,1,C,1
39,21,1,0,1,C,0
68,12,1,0,1,C,0
46,12,1,0,1,C,1
38,14,1,1,1,C,1
56,21,1,1,1,C,0
35,12,1,0,1,C,0
42,14,0,1,1,C,0
33,13,0,0,1,C,1
61,15,1,0,1,C,0
39,16,1,0,1,S,1
43,24,0,1,1,C,0
57,12,1,1,1,C,0
40,16,1,0,1,S,0
42,12,1,1,1,C,0
63,13,1,1,1,C,0
61,21,1,1,1,C,1
36,14,1,0,1,C,0
50,11,0,1,1,S,1
72,15,1,0,1,C,0
47,11,1,1,1,C,0
46,11,1,1,1,C,0
36,11,1,0,1,C,0
50,15,0,0,1,C,0
74,20,1,1,1,C,1
63,20,0,0,1,C,0
63,11,1,0,1,C,0
38,11,1,1,1,C,0
59,11,1,1,1,O,0
46,19,1,0,1,C,0
56,17,1,0,1,C,0
49,13,1,1,1,C,1
50,11,0,1,1,C,0
70,11,1,0,1,C,0
55,11,0,0,1,C,0
64,27,1,0,1,C,1
64,11,1,1,1,C,0
37,15,1,0,1,C,1
57,19,1,1,1,C,0
40,16,1,0,1,C,0
44,16,1,0,1,C,1
76,11,1,0,1,C,0
65,11,1,0,1,C,0
52,11,1,1,1,S,0
70,26,1,0,1,C,1
37,13,0,0,1,S,1
56,17,1,1,1,C,1
49,19,0,1,1,S,0
40,20,1,0,1,C,0
49,11,0,0,1,C,1
39,15,1,0,1,C,1
37,14,1,0,1,C,0
58,11,1,1,1,C,1
45,11,1,0,1,C,0
50,21,1,0,1,C,1
36,11,0,1,1,C,0
55,27,0,0,1,C,0
35,15,1,1,1,S,0
70,14,1,0,1,C,0
33,14,0,1,1,S,1
65,11,1,0,1,C,0
47,16,1,0,0,C,0
43,22,1,0,1,C,1
58,14,1,0,0,C,0
41,11,1,1,1,S,1
44,12,1,1,1,C,1
49,24,1,0,1,C,0
31,2,1,0,1,S,0
65,16,0,0,1,O,1
58,22,1,0,1,C,0
43,18,1,0,1,C,1
53,11,1,0,1,C,0
58,22,0,1,1,C,1
69,20,1,0,1,C,0
48,14,1,0,1,C,0
41,18,1,0,1,C,1
37,13,1,0,1,S,0
60,31,1,1,1,C,1
45,15,1,1,1,S,1
49,22,1,1,1,C,1
55,11,1,1,1,C,0
71,14,1,0,1,C,0
54,20,1,0,1,C,0
38,14,1,1,1,C,0
61,16,1,1,1,C,1
44,12,1,1,1,C,1
63,11,1,1,1,C,0
39,10,1,0,1,S,0
61,10,1,1,1,C,0
49,14,0,0,1,C,1
38,15,1,1,1,C,1
59,26,0,0,1,C,1
35,17,1,0,1,S,0
47,10,1,1,1,C,1
62,15,1,1,1,C,1
45,14,1,1,1,C,1
52,20,1,0,1,C,1
53,15,0,1,1,C,1
46,16,1,0,1,C,0
66,20,1,0,1,C,0
49,20,1,0,1,C,1
62,10,1,1,1,C,0
88,24,1,0,1,C,0
29,10,1,0,0,S,0
58,10,1,0,1,C,0
51,16,1,0,1,C,0
61,10,1,1,0,C,0
82,20,1,0,1,C,0
58,19,1,1,1,C,0
51,12,1,1,1,S,1
55,10,1,0,1,C,1
68,10,1,1,1,C,0
56,17,1,1,1,C,1
22,21,1,0,1,C,1
55,23,1,0,1,C,0
49,16,1,1,1,C,1
33,15,0,0,1,S,1
61,18,1,0,1,S,0
35,13,1,0,1,C,1
56,28,1,0,1,C,0
39,12,0,0,1,C,1
37,14,1,1,1,S,1
63,21,1,0,1,C,0
36,10,1,1,1,C,0
71,20,1,0,1,S,0
51,25,1,0,1,C,1
67,10,1,0,1,O,0
48,20,1,0,1,C,1
61,15,1,0,1,C,0
35,10,1,1,1,C,1
75,12,1,0,1,C,0
42,12,1,1,1,C,1
60,18,1,1,1,C,0
56,18,1,0,1,C,0
39,14,1,0,1,S,0
38,13,1,0,1,C,0
56,18,1,0,1,C,0
37,10,1,1,1,S,1
30,13,1,1,1,S,1
53,20,1,1,1,C,1
53,14,1,0,1,C,0
49,14,1,0,1,C,0
56,10,1,0,1,C,0
42,9,1,1,1,C,0
54,9,1,0,1,C,0
51,9,1,1,1,C,0
62,16,1,0,1,C,0
54,9,1,1,1,C,0
63,14,1,1,1,C,1
58,17,1,0,1,C,0
41,21,1,0,1,S,0
52,24,1,0,1,C,0
53,22,1,1,1,C,0
47,9,1,1,1,C,1
46,12,1,1,1,C,1
38,9,1,0,1,C,0
32,9,1,0,1,C,0
56,20,1,0,1,C,1
54,19,1,0,1,C,0
56,14,1,0,1,C,0
38,13,1,1,1,C,1
54,14,1,1,1,C,1
46,26,0,1,1,C,1
45,9,1,1,1,S,1
57,15,1,0,1,O,1
52,20,1,1,1,C,1
32,14,1,0,1,S,1
58,20,1,1,1,C,0
38,14,1,0,1,C,1
36,9,1,1,1,C,1
42,13,1,1,1,C,1
65,13,1,1,1,C,1
45,15,0,0,1,C,1
45,15,1,1,1,C,1
58,13,1,0,1,C,0
72,9,1,0,1,C,0
49,14,0,0,1,O,0
36,9,0,0,1,C,0
39,13,0,1,1,C,0
43,17,1,0,1,C,1
33,9,1,0,1,C,0
58,14,1,1,1,C,0
32,9,1,0,1,O,1
48,9,1,0,1,C,0
69,9,1,0,1,C,0
45,17,1,0,1,S,0
52,12,1,0,1,C,0
33,11,1,0,1,C,0
47,9,0,1,1,S,1
60,9,0,1,1,C,1
39,11,0,1,1,C,1
47,9,0,1,1,C,1
39,13,0,0,1,C,0
39,9,0,0,1,C,1
33,14,0,1,1,C,1
33,9,1,1,1,C,1
52,10,0,1,1,C,0
66,14,1,0,1,S,0
61,15,1,1,1,S,0
56,9,1,0,1,C,1
56,9,0,1,1,C,1
72,14,1,0,1,C,0
38,14,1,0,1,C,0
46,11,1,1,1,C,0
68,20,1,0,1,C,0
62,30,1,0,1,C,1
32,9,1,0,1,C,0
54,18,1,0,1,C,1
57,12,1,0,1,C,0
31,12,1,0,1,S,1
48,9,0,0,1,C,0
22,9,1,0,1,S,0
48,25,1,0,1,C,0
34,10,1,1,1,C,0
37,14,1,0,1,S,0
75,20,1,0,1,C,0
38,22,1,1,1,C,0
53,20,1,0,1,C,1
47,2,1,1,1,C,0
35,11,1,1,1,S,1
40,13,1,0,1,S,1
37,16,0,0,1,S,0
71,15,1,1,1,C,1
71,11,1,0,1,C,0
40,16,0,0,1,C,1
65,19,1,0,1,C,0
42,10,0,1,1,C,1
57,20,1,0,1,C,1
64,19,1,1,1,C,0
73,18,1,0,1,C,0
63,15,1,1,1,C,0
73,18,1,0,1,C,0
38,16,1,1,1,S,1
77,13,1,0,1,C,0
73,29,1,0,1,C,1
46,23,1,1,1,C,0
38,11,1,1,1,C,1
58,19,1,0,1,C,0
67,23,1,0,1,C,0
34,13,1,0,1,S,1
42,17,0,0,1,C,1
70,32,1,0,1,C,1
73,15,1,0,1,C,0
44,21,1,1,1,S,1
37,9,1,1,1,S,1
49,17,0,0,1,C,1
49,17,1,0,1,C,0
53,9,1,0,1,C,0
47,15,0,0,1,C,1
60,18,1,1,1,C,0
39,13,1,1,1,C,1
67,20,1,1,1,O,1
44,20,1,0,1,C,0
63,24,1,1,1,C,0
66,11,1,1,1,C,0
45,14,1,0,1,C,0
36,11,1,0,1,C,0
36,13,0,0,1,S,1
49,9,1,0,1,C,0
35,18,1,0,1,C,0
39,15,0,0,1,C,1
34,14,1,1,1,O,0
44,19,1,0,1,C,1
36,10,0,0,1,C,0
34,9,1,1,1,C,0
37,17,1,1,1,C,0
44,14,1,0,1,S,1
58,20,1,0,1,C,0
64,15,1,0,1,C,0
48,9,0,0,1,C,1
31,12,1,0,1,C,0
38,12,1,0,1,S,0
57,26,1,1,1,C,1
36,14,1,0,1,C,0
63,20,1,1,1,C,0
49,20,1,0,1,C,0
46,28,1,0,1,C,0
43,18,1,0,1,C,1
52,13,1,1,1,C,1
48,25,0,0,1,C,1
51,13,1,1,1,O,1
48,19,1,0,1,C,1
53,15,1,0,1,C,0
48,15,1,0,1,S,0
51,21,1,1,1,C,0
42,9,1,1,1,C,1
46,9,0,0,1,C,1
33,15,1,0,1,C,1
43,13,1,1,1,C,0
51,21,1,0,1,S,1
40,22,1,0,1,C,1
73,10,1,0,1,C,0
62,21,0,0,1,S,1
56,14,1,0,1,C,0
57,15,1,1,1,C,0
33,23,1,0,1,C,1
48,9,1,0,1,C,0
76,24,1,0,1,C,0
65,20,1,1,1,C,1
78,15,1,0,1,C,0
51,9,1,0,1,C,0
48,14,1,0,1,C,0
49,25,1,0,1,C,1
31,13,1,0,1,C,0
44,13,0,0,1,S,0
38,14,1,0,1,C,1
46,15,1,0,1,C,0
57,24,1,1,1,C,1
47,10,1,0,1,C,0
46,14,1,1,1,O,0
48,24,1,0,1,C,1
47,13,1,0,1,C,0
29,9,0,0,1,S,0
58,14,1,0,1,C,0
62,19,1,0,1,C,0
47,10,1,0,1,C,0
38,14,1,0,1,C,1
37,15,1,0,1,S,1
48,21,1,0,1,C,0
83,21,1,0,1,C,0
83,11,1,0,1,C,0
35,9,1,1,1,C,1
63,9,1,1,1,C,0
35,17,0,1,1,O,0
51,22,1,0,1,C,1
54,30,0,0,1,C,1
43,18,1,1,1,C,1
55,16,0,1,1,C,1
45,12,1,0,1,C,0
37,10,0,0,1,S,1
52,13,1,0,1,C,0
55,15,1,0,1,C,0
39,13,1,1,1,C,0
45,15,1,1,1,C,0
55,11,1,0,1,C,0
31,10,1,0,1,S,0
55,21,1,1,1,C,0
52,9,0,1,1,C,0
37,12,1,0,1,S,0
57,13,1,1,1,C,1
52,27,1,0,1,S,0
49,20,1,0,1,C,0
39,16,1,1,1,S,0
59,13,1,1,1,C,0
55,23,1,0,1,S,0
56,22,1,1,1,C,0
33,13,0,0,1,S,1
70,29,0,1,1,C,1
30,12,0,0,1,C,1
38,16,1,0,1,S,0
74,9,1,1,1,C,0
51,12,1,0,1,C,1
55,20,1,0,1,C,0
37,10,1,0,1,S,1
33,14,1,1,1,S,0
42,9,1,0,1,S,0
60,24,1,1,1,C,1
35,9,1,0,1,C,0
36,9,1,0,1,C,0
73,18,1,1,1,C,1
35,14,1,0,1,S,0
50,20,0,0,1,C,0
37,14,1,0,1,C,0
71,33,1,0,1,C,0
69,9,1,0,1,C,0
37,9,1,0,1,S,0
52,11,1,0,1,C,1
34,11,1,0,1,S,1
49,15,0,0,1,C,1
49,16,1,1,1,C,0
35,10,1,0,1,C,0
45,17,1,0,1,C,0
63,10,1,1,1,C,1
38,11,1,1,1,C,1
41,9,0,1,1,C,1
59,10,1,0,1,C,0
67,11,1,0,1,C,0
55,16,1,1,1,C,0
64,15,1,0,1,C,0
27,11,0,0,1,S,0
44,18,1,1,1,C,1
57,17,1,0,1,C,0
52,13,1,0,1,C,0
35,16,1,1,1,C,0
51,12,1,0,1,C,0
44,11,1,0,1,C,0
37,14,1,0,1,S,1
37,11,1,1,1,S,1
38,14,1,0,1,C,0
52,14,1,1,1,C,0
42,10,0,1,1,C,0
35,14,1,1,1,C,1
38,14,1,1,1,C,0
54,10,0,0,1,C,0
57,16,1,0,1,C,0
60,27,0,0,1,C,0
38,14,1,0,1,C,1
34,13,1,0,1,C,1
57,11,1,0,1,C,0
38,22,1,0,1,C,1
53,9,1,0,1,C,0
42,14,1,0,1,C,0
55,21,0,1,1,C,1
65,26,1,0,0,C,1
38,16,1,0,1,S,0
74,10,1,0,1,C,0
58,17,1,0,1,C,0
70,27,1,0,1,C,1
58,18,1,0,1,C,1
52,11,1,1,1,C,1
33,11,1,1,1,C,1
60,17,1,0,1,C,0
38,10,0,1,1,C,0
50,12,1,0,1,O,0
31,11,1,0,1,C,1
50,29,1,0,1,C,0
45,12,0,1,1,C,0
73,15,1,1,1,C,0
45,15,1,0,1,O,1
37,15,1,0,1,C,1
38,12,0,0,1,S,0
63,21,1,0,1,C,0
42,16,0,1,1,C,0
65,10,1,0,1,C,0
54,19,0,0,1,C,0
56,20,1,0,1,C,1
69,14,1,1,1,C,0
55,15,0,0,1,C,0
54,19,1,0,1,C,1
36,10,1,1,1,S,0
50,14,1,0,1,C,0
34,9,1,1,1,S,0
45,17,0,0,1,S,1
34,9,1,0,1,C,1
60,20,1,1,1,C,1
54,16,0,1,1,C,1
37,9,1,0,1,C,0
51,21,1,1,1,S,0
73,17,1,1,1,C,1
38,13,0,0,1,C,1
43,20,1,0,1,C,0
45,15,1,0,1,C,0
32,16,0,1,1,S,1
61,9,1,0,1,C,0
75,12,1,1,1,C,0
46,15,1,1,1,C,0
43,10,0,0,1,C,1
46,10,1,0,1,C,0
52,14,1,1,1,C,1
42,18,1,0,1,S,1
38,15,1,0,1,C,0
38,15,1,0,1,S,0
29,13,1,1,1,S,0
47,14,1,1,1,C,0
52,14,1,0,1,C,0
44,15,0,0,1,C,1
49,14,1,0,1,C,1
54,23,1,0,1,C,1
42,14,0,0,1,C,1
31,10,0,0,1,C,1
33,14,1,0,1,S,0
47,24,1,0,1,C,1
52,14,1,1,1,S,1
54,14,0,0,1,C,1
73,15,1,0,1,C,0
32,10,1,0,0,S,0
44,19,1,1,1,C,1
32,23,1,0,1,S,1
33,20,0,0,1,C,1
75,17,1,1,1,C,0
60,17,1,0,1,C,0
31,12,0,0,1,S,0
58,12,1,1,1,C,1
35,12,1,0,1,C,0
37,2,0,0,0,C,0
66,28,1,0,1,C,1
59,17,1,1,1,C,1
39,16,1,0,1,C,0
74,14,1,0,1,C,0
45,15,0,0,1,C,0
51,20,1,1,1,C,0
52,13,1,0,1,C,0
47,17,1,0,1,C,1
58,17,1,0,1,C,0
43,13,0,1,1,C,1
51,9,0,0,1,C,1
47,14,1,1,1,S,1
59,21,1,0,1,S,0
34,9,1,0,0,C,0
45,11,0,0,1,C,0
33,10,1,0,1,O,0
41,13,0,1,1,C,0
58,16,1,0,1,C,0
63,13,1,0,1,C,0
39,15,1,0,1,C,1
72,14,1,0,1,C,0
46,12,1,1,1,C,0
75,26,1,1,1,C,1
29,25,1,0,1,C,1
46,16,1,0,1,C,0
55,16,1,0,1,C,0
38,14,1,1,1,C,1
40,11,1,0,1,C,0
46,21,1,1,1,C,0
60,11,1,0,1,C,0
72,21,1,0,1,C,0
62,17,1,1,1,C,0
39,16,1,1,1,S,0
40,20,0,0,1,C,1
43,22,1,1,1,C,1
37,11,1,0,1,C,0
43,16,1,1,1,C,1
72,17,1,1,1,C,1
55,19,1,1,1,C,0
74,11,1,0,1,C,0
51,13,1,0,1,C,0
56,17,1,0,1,C,0
40,12,1,0,1,C,0
45,17,1,0,1,C,0
38,12,1,1,1,S,0
55,9,0,0,1,C,0
51,12,0,0,1,S,1
55,25,1,0,1,S,0
33,13,1,0,1,C,1
55,19,1,0,1,C,1
71,9,1,1,1,C,0
73,26,1,0,1,C,0
41,14,1,0,1,S,1
52,13,1,0,1,C,1
30,15,0,0,1,C,1
47,23,1,0,1,C,1
33,15,1,1,1,C,1
53,20,1,1,1,C,0
58,18,1,0,1,C,0
36,11,1,0,1,C,0
48,20,1,1,1,C,1
65,18,1,0,1,C,0
