age,seniority,men,urban,private,marital_M,marital_O,marital_S,yord
63,30,1,0,1,1,0,0,0
58,26,1,0,1,1,0,0,1
65,25,1,0,1,1,0,0,2
52,22,0,1,1,0,0,1,1
48,20,1,0,1,1,0,0,1
74,22,1,0,1,1,0,0,0
71,20,1,0,1,1,0,0,0
59,20,1,0,1,1,0,0,0
56,20,1,0,1,1,0,0,1
57,24,1,1,1,1,0,0,2
47,19,1,0,1,1,0,0,0
37,19,1,0,1,1,0,0,0
51,19,1,1,1,1,0,0,1
52,21,1,1,1,1,0,0,0
53,19,1,1,1,1,0,0,1
63,19,1,1,1,1,0,0,1
56,19,1,0,1,1,0,0,0
67,22,1,1,1,1,0,0,0
53,19,0,1,1,1,0,0,0
70,19,1,0,1,1,0,0,2
50,19,0,1,1,0,0,1,2
49,18,1,0,1,1,0,0,1
52,21,1,0,1,1,0,0,2
40,18,1,0,1,1,0,0,0
47,17,1,1,1,1,0,0,1
59,23,1,0,1,1,0,0,0
51,17,1,1,1,1,0,0,0
53,21,0,1,1,1,0,0,2
42,20,1,1,1,1,0,0,0
58,23,1,0,1,0,0,0,2
59,17,1,0,1,1,0,0,1
67,17,1,1,1,1,0,0,2
43,19,1,0,1,1,0,0,0
68,16,1,1,1,1,0,0,0
59,19,1,0,1,1,0,0,0
58,22,1,0,1,1,0,0,2
56,17,1,0,1,0,1,0,2
52,16,0,1,1,0,0,1,2
41,16,1,0,1,1,0,0,1
56,21,1,0,1,1,0,0,2
61,16,1,0,1,1,0,0,1
67,16,1,0,1,1,0,0,0
52,16,1,0,1,1,0,0,1
68,18,0,0,1,0,0,1,2
43,18,1,0,1,0,1,0,2
61,16,1,1,1,1,0,0,0
69,15,1,0,1,1,0,0,0
55,32,1,0,1,1,0,0,1
70,23,1,0,1,1,0,0,0
44,25,1,0,1,1,0,0,0
54,15,1,0,1,1,0,0,1
37,15,0,0,1,1,0,0,0
57,15,1,0,1,1,0,0,2
63,27,1,0,1,1,0,0,1
58,17,1,0,1,1,0,0,0
51,15,1,0,1,0,1,0,0
64,15,1,0,1,1,0,0,0
43,15,1,0,1,1,0,0,0
49,21,1,0,1,0,0,1,0
39,16,1,0,1,1,0,0,2
41,16,1,0,1,1,0,0,0
53,14,0,1,1,1,0,0,2
85,17,1,1,1,1,0,0,1
52,14,1,1,1,1,0,0,1
37,14,1,0,1,1,0,0,0
65,18,1,1,1,0,0,0,0
51,14,0,0,1,1,0,0,2
55,15,0,0,1,1,0,0,0
66,14,1,0,1,1,0,0,0
60,14,1,0,1,1,0,0,0
73,15,1,0,1,1,0,0,1
58,15,1,0,1,1,0,0,1
71,23,1,0,1,1,0,0,0
45,15,1,0,1,0,0,1,0
49,22,1,0,1,1,0,0,2
68,20,1,1,1,1,0,0,2
49,20,0,0,1,1,0,0,0
37,32,1,0,1,0,0,1,2
47,20,1,1,1,1,0,0,0
56,20,1,1,1,1,0,0,1
36,14,0,0,1,1,0,0,1
43,14,0,1,1,1,0,0,0
42,14,1,1,1,1,0,0,0
53,21,1,0,1,1,0,0,0
44,13,1,0,1,1,0,0,0
71,15,1,0,1,1,0,0,0
44,19,1,1,1,0,0,1,1
63,24,1,0,1,1,0,0,1
46,19,1,0,1,1,0,0,0
53,20,1,1,1,1,0,0,0
38,15,1,1,1,1,0,0,2
50,18,0,0,1,1,0,0,0
53,18,0,0,1,0,0,0,0
67,15,1,0,1,0,0,1,2
47,13,1,0,1,0,0,1,2
47,19,1,0,1,1,0,0,0
56,23,1,0,1,1,0,0,2
57,21,1,1,1,1,0,0,0
51,28,1,0,1,1,0,0,2
38,13,1,0,1,1,0,0,0
40,15,1,0,1,0,0,1,1
50,21,1,0,1,1,0,0,0
39,15,1,0,1,1,0,0,0
41,15,1,0,1,1,0,0,0
44,19,1,1,1,1,0,0,0
49,20,1,0,1,1,0,0,2
49,15,1,0,1,0,0,1,0
52,21,1,1,1,1,0,0,0
66,22,0,1,1,0,0,1,2
55,14,1,1,1,1,0,0,2
34,14,1,1,1,0,0,1,1
40,12,1,0,1,1,0,0,0
44,17,1,1,1,1,0,0,0
47,12,1,0,1,1,0,0,0
68,12,1,1,1,1,0,0,0
58,21,1,0,1,1,0,0,2
48,18,1,0,1,1,0,0,0
52,23,1,0,1,1,0,0,2
40,15,1,0,1,1,0,0,2
49,12,1,0,1,1,0,0,1
54,12,1,0,1,1,0,0,1
59,26,1,0,1,1,0,0,0
42,18,1,0,1,1,0,0,0
52,12,0,0,1,1,0,0,2
45,13,1,1,1,1,0,0,0
43,12,1,0,1,0,0,1,1
34,12,1,1,1,0,0,1,0
70,38,1,0,1,1,0,0,1
52,24,1,0,1,1,0,0,1
48,22,0,0,1,1,0,0,0
59,13,1,0,1,1,0,0,1
45,12,1,0,1,1,0,0,0
42,11,1,0,1,1,0,0,0
64,26,1,1,1,1,0,0,0
53,27,1,0,1,1,0,0,0
36,13,1,0,1,1,0,0,1
50,15,0,0,1,1,0,0,2
40,14,0,0,1,1,0,0,2
53,21,0,0,1,1,0,0,0
43,11,1,0,1,1,0,0,2
48,13,1,1,1,1,0,0,0
55,12,1,0,1,1,0,0,2
36,14,0,0,1,1,0,0,0
43,11,1,1,1,1,0,0,0
55,31,1,0,1,0,1,0,1
39,15,1,0,1,1,0,0,2
35,11,1,1,1,0,0,1,1
46,19,1,1,1,1,0,0,2
45,11,1,0,1,1,0,0,0
61,21,0,0,1,1,0,0,0
42,11,1,0,1,1,0,0,2
45,11,0,0,1,0,0,1,1
35,11,1,0,1,0,0,1,0
43,11,0,1,1,1,0,0,2
51,26,1,0,1,1,0,0,1
50,10,1,0,1,1,0,0,0
42,23,0,1,1,0,0,1,2
74,19,1,1,1,1,0,0,1
66,18,0,1,1,1,0,0,0
49,15,1,1,1,1,0,0,0
60,15,1,1,1,1,0,0,0
45,10,1,1,1,1,0,0,2
57,10,1,0,1,1,0,0,1
57,19,1,1,1,0,0,1,1
39,14,1,0,1,1,0,0,0
47,23,1,1,1,1,0,0,2
37,14,1,0,1,0,0,1,2
52,17,0,0,1,1,0,0,0
47,20,1,0,1,1,0,0,1
50,22,1,1,1,1,0,0,0
61,10,1,0,1,1,0,0,1
57,13,1,0,1,1,0,0,1
44,10,1,0,1,0,0,1,1
59,17,1,1,1,1,0,0,0
38,10,0,0,1,1,0,0,0
51,15,1,0,1,1,0,0,1
43,16,0,0,1,0,0,0,2
36,10,1,1,1,1,0,0,2
40,19,0,0,1,0,0,1,0
46,20,1,0,1,1,0,0,1
34,11,1,0,1,0,0,1,0
55,10,1,0,1,1,0,0,0
65,26,1,0,1,0,0,1,0
62,15,1,1,1,1,0,0,0
46,21,1,0,1,1,0,0,0
38,10,1,0,1,1,0,0,2
51,19,1,0,1,0,0,1,0
43,16,1,0,1,1,0,0,2
34,13,1,1,1,0,0,1,0
47,12,1,1,1,1,0,0,2
61,15,1,0,1,1,0,0,0
36,15,1,0,1,1,0,0,2
69,10,1,1,1,1,0,0,0
54,9,0,0,1,1,0,0,2
37,14,1,0,1,0,0,1,2
55,9,1,1,1,1,0,0,2
60,15,1,1,1,1,0,0,0
33,9,0,0,1,1,0,0,0
48,10,1,1,1,1,0,0,1
54,14,1,1,1,1,0,0,0
60,10,1,0,1,1,0,0,2
60,15,1,1,1,1,0,0,1
34,10,1,1,1,1,0,0,0
41,12,0,0,1,1,0,0,2
50,9,1,0,1,1,0,0,1
35,22,1,0,1,1,0,0,0
59,12,1,0,1,1,0,0,0
47,9,0,1,1,0,0,1,2
58,10,1,0,1,1,0,0,2
43,9,1,0,1,1,0,0,1
76,14,1,1,1,1,0,0,0
37,10,0,0,1,1,0,0,2
39,15,1,1,1,0,0,1,0
43,9,1,0,1,1,0,0,0
74,9,1,0,1,1,0,0,2
36,11,1,0,1,0,0,1,0
64,16,1,1,1,1,0,0,0
45,18,1,0,1,1,0,0,1
46,9,1,1,1,1,0,0,0
38,15,1,0,1,1,0,0,0
36,9,1,0,1,1,0,0,0
49,11,1,0,1,1,0,0,0
36,20,1,1,1,0,0,1,2
45,11,1,1,1,1,0,0,2
37,16,0,0,1,0,0,1,2
62,16,1,0,1,1,0,0,1
64,14,1,0,1,1,0,0,0
40,17,0,0,1,1,0,0,0
49,9,0,0,1,0,0,0,0
40,9,0,0,1,1,0,0,0
60,27,1,1,1,0,0,1,1
31,14,1,1,1,0,0,1,2
75,21,1,0,1,1,0,0,0
29,17,1,0,1,1,0,0,0
63,25,1,0,1,1,0,0,0
59,15,1,1,1,1,0,0,1
39,10,1,0,1,1,0,0,0
35,9,1,0,1,1,0,0,0
33,14,1,0,1,0,0,1,2
38,15,1,0,1,1,0,0,0
54,26,1,0,1,0,0,1,1
66,9,1,0,1,1,0,0,1
36,11,1,0,1,1,0,0,0
35,3,1,0,1,0,0,1,1
50,16,1,0,1,1,0,0,0
49,15,1,1,1,0,0,1,1
46,18,1,1,1,1,0,0,0
42,14,1,1,1,1,0,0,2
63,18,1,0,1,0,0,0,1
71,22,1,0,1,1,0,0,2
69,23,1,0,1,1,0,0,0
33,21,1,0,1,1,0,0,0
44,9,0,0,1,1,0,0,1
58,15,1,0,1,0,0,0,0
40,22,1,0,1,1,0,0,1
37,16,1,0,1,1,0,0,2
41,9,1,1,1,0,0,1,0
43,9,1,1,1,1,0,0,2
66,17,1,0,1,1,0,0,1
79,22,1,1,1,1,0,0,2
36,14,1,0,1,1,0,0,1
48,24,1,1,1,1,0,0,0
41,11,0,0,1,0,0,1,1
46,13,1,1,1,1,0,0,1
38,14,1,0,1,1,0,0,2
57,24,1,1,1,1,0,0,2
54,10,1,0,1,1,0,0,2
52,19,1,0,1,1,0,0,0
60,13,1,0,1,1,0,0,1
58,12,1,0,1,1,0,0,0
66,17,1,1,1,1,0,0,2
39,16,0,1,1,0,0,1,2
40,20,1,0,1,0,0,1,0
65,12,1,0,1,1,0,0,0
65,21,1,0,1,1,0,0,2
37,12,0,0,1,1,0,0,0
35,33,1,0,1,0,0,1,0
38,14,0,0,1,1,0,0,1
52,27,1,0,1,0,0,1,1
28,11,0,1,1,0,0,1,0
54,16,1,0,1,1,0,0,0
35,9,0,1,1,1,0,0,1
39,17,1,0,1,0,0,1,2
42,19,1,0,1,1,0,0,0
41,17,1,0,1,1,0,0,1
71,17,1,1,1,1,0,0,1
41,14,1,1,1,1,0,0,0
37,14,1,1,1,0,0,1,1
43,12,0,0,1,1,0,0,1
65,13,1,1,1,1,0,0,0
47,9,0,0,1,1,0,0,2
34,11,1,1,1,0,0,1,1
36,15,1,0,1,0,0,1,1
49,15,0,0,1,1,0,0,1
75,15,1,0,1,1,0,0,0
67,20,1,0,1,1,0,0,1
43,24,0,0,1,0,0,1,2
59,9,1,0,1,1,0,0,2
40,10,1,0,1,1,0,0,0
64,15,1,0,1,1,0,0,0
55,17,1,1,1,1,0,0,0
51,29,0,1,1,1,0,0,0
38,14,1,1,1,1,0,0,2
73,15,1,1,1,1,0,0,0
61,16,1,0,1,0,0,1,2
42,9,1,1,1,1,0,0,0
46,16,1,0,1,1,0,0,1
53,17,0,0,1,1,0,0,0
40,11,1,0,1,0,0,1,1
41,17,1,0,1,1,0,0,0
39,15,1,0,1,0,0,1,1
61,16,1,1,1,1,0,0,0
47,13,1,0,1,1,0,0,0
59,9,0,1,1,1,0,0,0
37,17,1,0,1,1,0,0,0
69,27,1,0,1,1,0,0,0
60,17,1,0,1,1,0,0,0
40,16,1,0,1,0,0,1,2
29,9,0,0,1,1,0,0,0
56,9,1,1,1,1,0,0,0
35,12,0,0,1,1,0,0,1
43,9,1,0,1,1,0,0,0
52,10,1,0,1,1,0,0,1
39,14,1,1,1,0,0,1,2
41,11,1,0,1,1,0,0,1
35,12,1,0,1,1,0,0,2
50,14,1,0,1,1,0,0,2
39,9,0,0,1,1,0,0,1
45,17,0,0,1,0,0,1,2
70,9,0,0,1,0,0,0,0
53,16,0,1,1,1,0,0,0
55,20,1,1,1,1,0,0,0
56,22,1,1,1,1,0,0,0
59,18,1,0,1,1,0,0,2
39,2,0,0,1,0,0,0,0
63,13,1,0,1,0,0,1,0
40,14,1,0,1,0,1,0,1
38,13,1,0,1,1,0,0,0
38,13,0,0,1,1,0,0,1
73,22,1,0,1,1,0,0,1
74,27,1,0,1,1,0,0,2
47,20,1,0,1,1,0,0,2
57,15,1,0,1,1,0,0,2
59,15,0,0,1,1,0,0,1
30,9,0,1,1,0,0,1,0
75,27,1,1,1,1,0,0,1
27,10,1,0,1,0,0,1,1
71,22,1,0,1,1,0,0,2
77,19,1,0,1,1,0,0,0
57,14,1,0,1,1,0,0,1
36,9,1,0,1,1,0,0,1
52,19,0,1,1,0,0,1,0
34,11,1,1,1,0,0,1,1
37,9,0,0,1,1,0,0,0
38,15,1,0,1,0,0,1,2
74,20,1,0,1,1,0,0,1
55,28,0,1,1,1,0,0,1
74,11,1,0,1,0,0,1,1
37,14,1,1,1,0,0,1,2
32,13,1,0,1,1,0,0,0
42,14,1,0,1,1,0,0,0
31,3,1,1,1,1,0,0,0
46,11,1,0,1,1,0,0,0
45,15,0,0,1,1,0,0,1
58,13,1,1,1,1,0,0,0
40,14,1,1,1,1,0,0,0
60,32,1,0,1,1,0,0,0
74,21,1,0,1,0,0,1,0
40,16,1,1,1,1,0,0,0
42,16,1,0,1,1,0,0,1
55,8,0,1,1,1,0,0,2
61,11,1,0,1,1,0,0,2
46,13,1,0,1,1,0,0,0
80,14,1,0,1,1,0,0,0
56,13,1,0,1,1,0,0,0
56,20,1,0,1,1,0,0,1
34,9,1,0,1,1,0,0,0
47,15,1,1,1,0,0,1,0
60,11,1,0,1,1,0,0,1
33,13,0,0,1,0,0,1,0
71,15,1,1,1,1,0,0,1
57,20,1,0,1,0,0,1,2
59,11,1,1,1,1,0,0,0
52,13,0,1,1,1,0,0,0
43,14,1,1,1,1,0,0,1
51,23,1,1,1,1,0,0,0
39,13,1,0,1,1,0,0,0
73,20,1,1,1,1,0,0,1
52,14,1,1,1,1,0,0,1
57,15,1,0,1,1,0,0,0
47,10,1,0,1,1,0,0,0
35,15,1,0,1,0,0,1,0
40,15,1,0,1,0,0,1,0
59,11,1,1,1,1,0,0,0
61,8,0,0,1,1,0,0,2
73,24,1,0,1,1,0,0,1
49,9,1,0,1,1,0,0,0
45,8,1,0,1,0,0,1,1
57,18,1,0,1,1,0,0,1
40,15,1,0,1,1,0,0,0
51,13,1,0,1,1,0,0,1
63,24,1,0,1,1,0,0,1
64,8,1,1,1,1,0,0,0
32,9,1,1,1,0,0,1,0
52,15,1,0,1,1,0,0,0
63,13,1,1,1,1,0,0,2
72,13,0,1,1,1,0,0,1
42,19,1,0,1,1,0,0,0
34,13,1,0,1,1,0,0,2
40,19,1,0,1,1,0,0,2
35,11,0,0,1,0,0,1,0
47,14,1,0,1,1,0,0,1
47,12,1,0,1,1,0,0,1
32,8,0,0,1,0,0,1,0
42,17,1,0,1,1,0,0,1
46,21,1,1,1,0,0,1,0
29,12,1,0,1,0,0,1,2
46,14,1,1,1,1,0,0,0
70,14,1,0,1,1,0,0,1
42,15,1,0,1,1,0,0,0
65,23,1,1,1,1,0,0,0
38,8,1,1,1,1,0,0,2
56,20,0,0,1,1,0,0,0
53,8,1,1,1,1,0,0,1
34,11,1,0,1,0,0,1,0
32,11,0,0,1,0,0,1,1
65,8,1,0,1,1,0,0,0
42,14,1,0,1,0,0,1,2
55,14,1,1,1,1,0,0,1
46,8,0,0,1,0,0,1,0
35,13,1,0,1,1,0,0,0
72,18,1,0,1,1,0,0,1
53,19,1,1,1,1,0,0,1
43,21,1,1,1,1,0,0,0
44,14,1,0,1,1,0,0,2
37,20,0,0,1,1,0,0,0
68,8,1,0,1,1,0,0,0
35,9,1,1,1,0,0,1,2
58,10,1,0,1,1,0,0,1
41,8,0,0,1,1,0,0,1
62,11,0,1,1,1,0,0,1
79,16,1,0,1,0,0,1,0
40,10,1,0,1,0,0,1,0
41,14,1,0,1,0,0,1,0
39,14,1,0,1,1,0,0,2
36,13,1,0,1,1,0,0,1
54,20,1,0,1,1,0,0,2
34,13,0,0,1,1,0,0,0
32,5,1,0,0,0,0,1,0
57,12,0,0,1,1,0,0,0
57,13,1,0,1,1,0,0,1
43,8,1,0,1,1,0,0,0
45,20,1,0,1,1,0,0,1
55,12,1,0,1,0,0,1,1
45,28,0,1,1,1,0,0,2
65,10,1,0,1,1,0,0,0
43,13,1,1,1,1,0,0,0
59,15,0,1,1,1,0,0,0
56,16,1,0,1,1,0,0,0
49,23,1,1,1,1,0,0,2
81,15,1,1,1,1,0,0,2
36,12,1,1,1,0,0,0,2
34,8,1,0,1,0,0,1,0
70,14,1,0,1,1,0,0,0
40,16,0,0,1,1,0,0,0
50,10,1,0,1,1,0,0,1
37,12,0,0,1,0,0,1,2
58,13,1,1,1,1,0,0,1
49,10,1,1,1,1,0,0,2
45,17,1,0,1,1,0,0,1
58,15,1,0,1,1,0,0,0
53,21,1,0,1,1,0,0,1
39,8,0,0,1,1,0,0,0
43,13,1,0,1,1,0,0,1
47,11,0,1,1,1,0,0,1
52,8,1,0,1,1,0,0,0
41,17,1,0,1,1,0,0,0
63,12,1,0,1,1,0,0,0
62,8,1,0,1,1,0,0,1
58,18,1,1,0,1,0,0,0
47,23,1,0,1,1,0,0,0
52,14,0,0,1,0,0,1,0
46,9,1,0,1,1,0,0,0
41,11,1,0,1,1,0,0,1
60,8,1,1,1,0,0,1,0
48,11,0,0,1,1,0,0,0
35,14,0,1,1,0,0,1,0
46,19,0,1,1,1,0,0,1
33,14,1,1,1,1,0,0,2
54,9,1,0,1,1,0,0,1
50,15,1,0,1,1,0,0,1
50,22,1,0,1,1,0,0,1
50,17,1,0,1,1,0,0,0
45,21,0,1,1,1,0,0,1
42,27,0,1,1,0,0,1,0
46,14,0,1,1,1,0,0,2
63,19,0,1,1,0,0,1,2
46,16,1,0,1,1,0,0,0
63,11,1,1,1,1,0,0,0
54,14,1,1,1,1,0,0,0
46,8,0,1,1,1,0,0,2
63,15,1,1,1,1,0,0,2
69,14,1,1,1,1,0,0,0
71,9,1,0,1,1,0,0,0
65,12,1,0,1,1,0,0,0
38,20,1,0,1,0,0,1,1
51,16,0,1,1,1,0,0,0
61,27,1,1,1,1,0,0,1
55,15,1,0,1,1,0,0,0
64,15,1,0,1,1,0,0,2
78,9,1,0,1,1,0,0,1
56,14,1,0,1,1,0,0,2
68,23,1,1,1,1,0,0,2
38,22,1,0,1,1,0,0,1
40,18,1,0,1,1,0,0,1
49,22,1,0,1,1,0,0,0
31,2,1,0,1,0,0,1,0
48,18,1,0,1,1,0,0,0
46,26,1,1,1,1,0,0,0
51,16,1,0,1,1,0,0,0
44,24,0,0,1,1,0,0,1
47,15,1,0,1,1,0,0,2
34,21,0,1,1,1,0,0,0
48,17,1,0,1,1,0,0,1
72,21,1,0,1,1,0,0,0
32,8,1,0,1,1,0,0,1
39,8,1,1,1,1,0,0,0
46,16,1,1,1,1,0,0,0
50,15,1,0,1,1,0,0,0
42,10,1,0,1,1,0,0,1
38,13,1,0,1,1,0,0,2
58,13,1,0,1,1,0,0,0
38,13,1,0,1,1,0,0,0
28,9,0,0,1,1,0,0,2
50,16,1,0,0,1,0,0,0
35,8,0,0,1,0,0,1,2
56,16,0,0,1,0,0,1,2
47,20,1,0,1,1,0,0,0
55,26,0,0,1,1,0,0,1
35,11,1,0,1,0,0,1,1
40,20,0,1,1,0,0,1,0
75,18,1,0,1,1,0,0,1
54,13,1,0,1,1,0,0,0
37,16,1,0,1,0,0,1,1
41,16,1,0,1,1,0,0,1
77,13,1,0,1,1,0,0,0
47,15,1,0,1,1,0,0,0
34,8,1,0,1,0,0,1,0
50,13,1,0,1,1,0,0,0
46,13,1,0,1,0,0,1,0
65,13,1,1,1,1,0,0,1
49,16,1,0,1,1,0,0,2
56,10,1,0,1,0,0,1,1
38,14,1,1,1,0,0,1,0
35,9,0,0,1,1,0,0,2
49,22,1,1,1,1,0,0,1
53,13,1,1,1,1,0,0,0
39,13,1,0,1,1,0,0,0
52,17,1,0,1,1,0,0,0
35,10,1,1,1,0,0,1,0
61,18,1,0,1,1,0,0,0
46,14,1,0,1,1,0,0,1
36,11,1,1,1,1,0,0,1
41,14,0,0,1,1,0,0,2
46,9,1,0,0,1,0,0,0
59,18,1,1,1,1,0,0,0
67,18,1,1,1,1,0,0,2
47,22,1,0,1,1,0,0,2
78,20,1,1,1,1,0,0,0
76,23,1,0,1,1,0,0,0
52,13,0,0,1,1,0,0,1
37,13,1,1,1,1,0,0,1
37,9,1,1,1,1,0,0,0
35,12,0,0,1,0,0,1,0
33,10,0,0,1,1,0,0,0
46,19,1,0,1,1,0,0,2
38,11,1,0,1,1,0,0,0
43,24,1,0,1,0,0,1,1
56,19,1,1,1,1,0,0,1
73,15,1,0,1,1,0,0,1
57,20,1,0,1,1,0,0,0
41,12,1,0,1,0,0,1,0
42,19,1,1,1,1,0,0,0
62,13,0,1,1,1,0,0,0
48,20,1,1,1,0,0,1,1
38,9,1,0,1,1,0,0,0
29,11,0,1,1,0,0,1,0
56,11,1,0,1,1,0,0,0
36,8,1,0,1,1,0,0,0
41,8,0,0,1,1,0,0,2
40,13,1,0,1,0,0,1,0
45,10,1,0,1,1,0,0,2
42,15,0,1,1,0,0,1,0
41,13,1,0,1,1,0,0,0
43,15,1,1,1,1,0,0,0
63,14,1,1,1,1,0,0,2
55,15,1,1,1,1,0,0,2
82,19,1,0,1,1,0,0,2
50,16,1,1,1,0,0,1,0
34,11,1,0,1,1,0,0,0
47,17,0,0,1,1,0,0,1
45,21,1,0,1,0,0,1,1
50,10,1,0,1,0,0,1,2
78,15,1,0,1,1,0,0,0
49,23,1,0,1,1,0,0,1
49,14,0,1,1,1,0,0,0
73,9,1,1,1,1,0,0,0
57,14,1,0,1,1,0,0,0
60,14,1,0,1,1,0,0,0
37,12,1,0,1,0,0,1,0
49,22,1,1,1,1,0,0,0
41,19,1,0,1,1,0,0,2
36,18,1,0,1,1,0,0,0
34,11,1,0,1,1,0,0,0
34,14,0,1,1,1,0,0,0
37,12,0,0,1,0,0,1,2
40,16,1,0,1,1,0,0,0
62,12,1,1,1,1,0,0,1
47,18,1,1,1,1,0,0,1
40,16,0,0,1,0,0,1,0
70,15,1,0,1,1,0,0,1
61,28,1,1,1,1,0,0,2
41,19,0,0,1,1,0,0,1
30,15,1,0,1,1,0,0,0
43,14,1,0,1,1,0,0,0
50,20,1,1,1,0,0,1,0
41,13,1,0,1,0,0,1,1
43,15,1,1,1,1,0,0,1
58,12,1,0,1,1,0,0,1
71,16,1,0,1,1,0,0,0
62,15,1,1,1,1,0,0,1
38,10,1,0,1,1,0,0,1
34,15,0,0,1,1,0,0,0
36,13,0,0,1,1,0,0,0
41,21,1,1,1,1,0,0,0
43,12,1,0,1,1,0,0,1
42,13,1,1,1,1,0,0,1
69,19,1,0,1,1,0,0,0
38,11,0,1,1,1,0,0,2
40,11,1,0,1,0,0,1,0
55,9,1,0,1,1,0,0,0
43,23,1,0,1,0,0,1,2
42,18,1,1,1,0,0,1,0
57,8,0,1,1,1,0,0,0
51,20,1,0,1,1,0,0,0
37,14,0,0,1,1,0,0,0
41,9,1,1,1,0,0,1,1
46,19,0,0,1,0,0,1,1
76,20,1,0,1,1,0,0,2
37,14,1,0,1,1,0,0,0
56,25,0,1,1,0,0,1,0
54,9,1,0,1,1,0,0,0
71,16,1,1,1,1,0,0,0
59,22,1,0,1,1,0,0,0
50,16,1,0,1,1,0,0,1
58,15,1,0,1,1,0,0,2
53,9,0,0,1,1,0,0,0
62,19,1,0,1,1,0,0,1
54,15,1,0,1,1,0,0,0
49,9,1,1,1,1,0,0,1
69,20,1,1,1,1,0,0,1
32,11,1,0,1,0,0,1,2
30,9,0,0,1,0,0,1,2
47,19,1,0,1,1,0,0,1
47,10,1,1,1,1,0,0,0
56,11,1,0,1,1,0,0,0
60,14,0,1,1,0,0,1,2
38,12,0,0,1,0,0,1,0
43,15,1,0,1,1,0,0,2
60,21,1,0,1,1,0,0,0
47,15,1,1,1,1,0,0,2
69,12,1,0,1,0,0,0,0
36,15,1,1,1,0,0,1,0
54,9,1,0,1,0,0,0,2
53,8,0,1,1,1,0,0,0
35,15,1,0,1,1,0,0,0
45,23,0,1,1,1,0,0,2
62,11,1,0,1,1,0,0,1
63,17,1,0,1,1,0,0,2
41,17,1,0,1,1,0,0,0
43,17,1,0,1,1,0,0,2
45,21,1,0,1,1,0,0,0
40,9,0,0,1,1,0,0,1
69,16,1,0,1,1,0,0,2
37,12,1,1,1,1,0,0,2
30,12,0,1,1,0,0,1,0
35,14,1,0,1,0,0,1,2
46,20,1,0,1,0,0,1,0
57,9,1,0,1,1,0,0,0
43,22,1,1,1,0,0,1,2
53,10,1,0,1,1,0,0,0
44,21,1,0,1,1,0,0,0
37,16,0,1,1,0,0,1,0
43,22,1,0,1,1,0,0,0
41,15,1,0,1,1,0,0,0
39,9,0,0,1,1,0,0,0
51,20,1,0,1,1,0,0,0
39,14,1,0,1,0,0,1,1
43,11,0,0,1,1,0,0,0
40,15,1,1,1,1,0,0,1
50,19,1,1,1,1,0,0,0
